Feature,Mean_Abs_SHAP
Velocity_1Yr,0.25579947286800175
Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,0.2163208435709789
pct_Renter_Occp_HU_ACS___Neighbor_Avg,0.10249611283329689
Cluster_2,0.08841645175031554
Med_HHD_Inc_Thousands_ACS__,0.0843115684230407
Cluster_3,0.06323357694307462
pct_Not_HS_Grad_ACS__,0.04293359052741558
pct_Vacant_Units_ACS__,0.0206535433546162
pct_College_ACS__,0.020336802287784658
pct_Renter_Occp_HU_ACS__,0.007442654529841209
pct_NH_Blk_alone_ACS__,0.006272480236452202
Pct_No_Health_Ins_CALCULATED_ACS__,0.003523633102968346
Cluster_1,0.0009456170379022165
pct_Vacant_Units_ACS___Neighbor_Avg,0.0007626459197442834
